"اسم المساق : معمارية الحاسوب المتقدمة


","رمز المساق : ENCS5331

","المتطلب السابق : ENCS4370, ENCS3390



"
"اسم المساق : تصميم الرقائق المتكاملة


","رمز المساق : ENCS5332

","المتطلب السابق : ENCS3330



"
"اسم المساق : الأنظمة المدمجة المتقدمة


","رمز المساق : ENCS5333



","المتطلب السابق : ENCS4330
"
"اسم المساق :تعلم الالة وعلوم البيانات


","رمز المساق : ENCS5341



","المتطلب السابق : ENCS3340



"
"اسم المساق : نظم المعلومات القائمة على النصوص


","رمز المساق : ENCS5342



","المتطلب السابق : ENCS3340



"
"اسم المساق : رؤية الحاسوب


","رمز المساق : ENCS5343



","المتطلب السابق : ENCS3340



"
"اسم المساق : مختبر أمن المعلومات وشبكات الحاسوب



","رمز المساق : ENCS5121





","المتطلب السابق : ENCS5322





"
"اسم المساق : مختبر تصميم الأجهزة




","رمز المساق : ENCS5131





","المتطلب السابق : ENCS3330





"
"اسم المساق : مختبر الأنظمة الذكية



","رمز المساق : ENCS5141





","المتطلب السابق : ENCS3340




"
"اسم المساق : مختبر أمن المعلومات وشبكات الحاسوب


","رمز المساق : ENCS5121





","المتطلب السابق : ENCS5322





"
"اسم المساق :مختبر تصميم الأجهزة


","رمز المساق : ENCS5131



","المتطلب السابق : ENCS3330





"
"اسم المساق : مختبر الأنظمة الذكية

","رمز المساق : ENCS5141

","المتطلب السابق : ENCS3340

"
"اسم المساق :تعلم الالة وعلوم البيانات




","رمز المساق : ENCS5341





","المتطلب السابق : ENCS3340





"
"اسم المساق :المعلوماتية الصحية



","رمز المساق : COMP4341





","المتطلب السابق : ENCS3340





"
"اسم المساق :الأنظمة الموزعة المتقدمة


","رمز المساق : ENCS5324



","المتطلب السابق : ENCS3390, ENCS3320





"
"اسم المساق :شبكات الاستشعار اللاسلكية وانترنت الأشياء

","رمز المساق : ENCS5325





","المتطلب السابق : ENCS3320





"
"اسم المساق :تصميم الرقائق المتكاملة


","رمز المساق : ENCS5332



","المتطلب السابق : ENCS3330



"
"اسم المساق :حماية الشبكة والنظام


","رمز المساق : ENCS5326





","المتطلب السابق : ENCS4320



"
"اسم المساق :أمن البرمجيات


","رمز المساق : ENCS5327



","المتطلب السابق : ENCS4320





"
"اسم المساق :اختبار الرقائق المتكاملة


","رمز المساق : ENCS5334





","المتطلب السابق : ENCS3330, ENCS3310





"
"اسم المساق :تصميم الرقائق المتكاملة


","رمز المساق : ENCS5332



","المتطلب السابق : ENCS3330



"
"اسم المساق :تصميم واختبار النظام على رقاقة


","رمز المساق : ENCS5335





","المتطلب السابق : ENCS3330, ENCS3310





"
"اسم المساق :المعالجة المتوازية


","رمز المساق : ENCS5336





","المتطلب السابق : ENCS3390, ENCS4370





"
"اسم المساق :معالجة اللغات المحكية


","رمز المساق : ENCS5344



","المتطلب السابق : ENCS4310, ENCS3340



"
اسم المساق :الروبوتات,"رمز المساق : ENCS5345



","المتطلب السابق : ENCS4380, ENCS3340





"
"اسم المساق :الاستنتاج الآلي وتطبيقاته


","رمز المساق : ENCS5346



","المتطلب السابق : ENCS3340





"
"اسم المساق :معالجة النصوص مع التركيز على اللغة العربية



","رمز المساق : ENCS5347





","المتطلب السابق : ENCS3340





"
"اسم المساق :تحليل البيانات الضخمة


","رمز المساق : ENCS5348



","المتطلب السابق : ENCS3340



"
"اسم المساق :التعلم الآلي العميق وتطبيقاته


","رمز المساق : ENCS5349



","المتطلب السابق : ENCS5341



"
